id,group,outlet,model,era,kind,period,section,is_wire,word_count,text,headline,prompt_version,quantized
irish_ai:gpt2-large:p0149,irish_ai,gript,gpt2-large,2019,base,pre,Comment Ireland,0,209,"'The latest figures show that the number of people leaving the country each year is going up', says the Department of Justice.

'The majority of people who leave on a new visa do not leave immediately, and this is the main reason why the Department is warning Irish citizens to take time to think about what to do with their residency cards' says the Department.

The Department says that Irish citizens living abroad are very much welcome to apply for a visa to stay in Ireland.

They can apply to the Department for a 'temporary residence permit' (or TD).

However, this does not mean that they automatically have the right to stay in Ireland.

A TD is temporary residence permit (or TD), which is valid for a period of 18 months. This visa is available from the Department for those who wish to stay temporarily in Ireland.

If you apply for a TD you will need to give details of where you live to the Department to prove your address in Ireland.

The Department will also need to show that the person has been in Ireland continuously for an average of seven days in the previous year.

You must also provide a copy of your passport with your application.",We don’t have a clue if people leave when visas expire says Department,irish-register-v3,0
irish_ai:gpt2-large:p0013,irish_ai,gript,gpt2-large,2019,base,post,Featured|Irish News,0,561,"There are a number of reasons as to why the current position of the Fine Gael/Labour Government on the issue of the contraceptive pill is not well known in Ireland.

Firstly, in order to properly understand the current situation, it would be helpful to first look at the history of this issue.

During the First World War, the United Kingdom and France signed a treaty which resulted in a clause in the Irish Constitution which gave women the right to choose their own form of contraception. However, there was a significant problem: the same clause did not apply to men or the Irish State.

As the treaty was signed, the Irish State did not have any legislation on the matter.

In 1946, the Provisional Government of the Provisional Irish Republic was formed and the issue of contraceptives was brought into the debate. The debate was one of great complexity and concern with the issue of 'male contraception' (i.e. contraceptive pills or implants).

At this time, there was considerable debate in the United States over the issue of male contraception, largely on the basis of its economic consequences. While the American Civil Liberties Union in the United States was in favour of male contraception, other conservative organizations in the United States were opposed to its introduction into the United States.

In 1951, when a conference on male contraception was held in Washington D.C, the issue was not considered very controversial amongst the American political elite. However, in Ireland, there was a great deal of opposition to the introduction of male contraception.

The Irish Catholic Church in Ireland, and the Irish People, strongly opposed the introduction of male contraceptives as they saw them as an intrusion into the religious rights of women. Indeed, it was the Irish Catholic Church and the Irish People who put forward an amendment to the constitution to prevent the introduction of male contraception.

The Irish Catholic Church, under the leadership of Archbishop Michael McQuaid, continued to stand by the position that all Irish women, including those who were not Catholic, should be given the right to decide their own reproductive future.

In 1955, Dr Peter McVean, a medical doctor who had previously been opposed to contraception, spoke out in favour of a new amendment to the Constitution which would provide that:

(1) The State shall not intervene in the reproductive choice of any person or any group of persons, or

(2) It shall not interfere in any way in the right of any person or any group of persons to determine their own reproductive destiny, including any form of contraception.

McVean's amendment was ultimately rejected by the majority of the country's voters. A referendum on the matter was to be held in 1956, but unfortunately, this issue was never addressed by either the government or the opposition.

In 1961, the Irish state, having been forced to accept the reality of male contraception, decided to intervene in the matter. This was done through a new legislation which allowed for a three-tier system to be introduced into the health system. The three tiers were:

The first tier was the contraceptive pill and implant. This was initially introduced in 1964. The second tier was the pill and injection. This was introduced in 1969, and this was introduced in 1970. The third tier was the patch, as it was introduced in 1974.",Sinn Féin slammed for Mermaids fundraiser over puberty blocker stance,irish-register-v3,0
irish_ai:gpt2-large:p0116,irish_ai,gript,gpt2-large,2019,base,pre,Featured|World News,0,230,"""RU, Russia threatens to deploy nuclear weapons if the Nordic countries join NATO

Russia's nuclear arsenal is in high demand

Russia will do anything to avoid losing the strategic advantage over the United States in Europe, says Mikhail Gorbachev.

""We must never lose the strategic advantage in Europe,"" he said at an event attended by the Swedish and Finnish leaders in Helsinki. ""Russia will do anything to avoid losing the strategic advantage.""

The Russian President stressed that if the US decided to send ground troops to Europe, the Kremlin would be ready to consider deploying a nuclear weapon in response.

""If the United States decides to go ahead with a ground war in Europe, Russia will do anything to avoid losing the strategic advantage over the United States. Russia would make use of the nuclear umbrella which we have developed in the past 10 years,"" he added.

A few weeks ago, Russian Foreign Minister Mikhail Gorbachev also warned that the Russians might use nuclear weapons to defend the country if NATO were to intervene in Crimea or Georgia.

""It is very clear that Russia is not a nuclear power but an atomic energy power. We are a nuclear power. And in case of a nuclear war, Russia will be the first to fight back,"" Gorbachev added.

For more information on this story, please click here.

Source: Gript

Image: RIA Novosti.",Russia threatens to deploy nukes if Sweden & Finland join NATO,irish-register-v3,0
irish_ai:gpt2-large:p0137,irish_ai,gript,gpt2-large,2019,base,pre,Comment|Comment Ireland,0,137,"""Five years ago this week, the Supreme Court of Ireland ruled that abortion was a right and that women should be allowed to have one. A decade and a half of abortion legislation had left a huge hole in Ireland's social fabric. But now, the Irish parliament has taken action. A new, comprehensive bill, the Abortion (Sporting Grounds) (Amendment) Bill, will bring an end to the abortion clinic in every public hospital, and put the decision in the hands of patients, not doctors.""

Read the full article in Irish here

[Editor's Note: In the article, Dr. Peter Higgins says that ""it is a matter of public health that there should be clinics with doctors on site at the entrances of every hospital."" We have now decided to leave it in our articles here for the time being.]","Three years after repeal, here’s 5 reasons I’m glad I voted No",irish-register-v3,0
irish_ai:gpt2-large:p0112,irish_ai,gript,gpt2-large,2019,base,pre,Irish News|News,0,504,"Finance Minister Michael Noonan, who was in New York to meet US President Barack Obama today, said that his department is looking into the details of a possible tender for the acquisition of a new fleet of Air Force One aircraft.

The current fleet of eight Air Force One aircraft currently serves the US President and Cabinet but a fresh fleet of Air Force One will enable the President to fly more frequently and with greater convenience than he currently does.

Minister Noonan said the Department of Finance, Defence and Transport will be working closely with the United States Department of Commerce and the United States Air Force to assess the feasibility of a tender for the procurement of additional aircraft.

""Our Government is fully committed to improving the air service of the United States and I have been impressed with the Air Force One programme in New York last week,"" Minister Noonan said.

""The Irish Government will ensure that we are able to deliver the best possible service to the American people.""

Minister Noonan said that he has been in close contact with the US Secretary of Commerce and Secretary of Defence and that they have been very supportive of his decision to look at options for a replacement for the current fleet.

""While I have no further comments to make at this stage, the Minister for Finance has been in close contact with the US Department of Defence and his department. He is fully aware that this is an issue which requires further discussion,"" he added.

The Government is also in discussions with the US Federal Aviation Administration and the Air Force Office of Inspector General to ensure that a tender process is agreed with the United States Government, he said.

Government to look at options for replacement

Minister Noonan said that the decision on the Government's options for replacing the current Air Force One fleet is the right one and that the decision has been taken with the US Government.

""The Defence Forces have taken on a huge amount of responsibility for the maintenance of the aircraft and I am confident that the Department of Finance, Defence and Transport will now be able to take an accurate and informed view of the issue before the end of next year,"" he said.

Minister Noonan said that he is still committed to investing in the Irish military and to making it a strong player in the world.

""Our Minister for Defence, Simon Coveney, has been incredibly supportive of my approach to the Defence Forces, and in particular the F-35 project. I am very grateful for his commitment to the F-35 programme,"" he said.

He said that he is not going to comment on how a decision will be reached on the Government's options for replacement of the Air Force One fleet.

""As I have said on many occasions, there has been much discussion internally with US Government agencies. We will work very closely with them to reach a determination as soon as possible.","Government Jet has flown for 125 hours this year, costing half a million",irish-register-v3,0
irish_ai:gpt2-large:p0139,irish_ai,gript,gpt2-large,2019,base,pre,Featured|Uncategorised,0,179,"Mr. Ashton Pound, a member of the Labour Party, received a €18,000 fine for allegedly failing to make a report about an alleged animal cruelty case.

The decision by the High Court in Dublin, and not a prosecution, means Pound will pay an additional €16,000.

Pound, who was a councillor in Dublin City Council, was named as the whistleblower by animal rights organisation, Irish Animals Rights, in an October 2015 article.

The investigation is an investigation by the organisation into Pound's activities in the course of which Pound was allegedly found to have failed to make a report about a matter that he himself had referred to the council's internal investigations unit.

Pound was also accused of failing to report the incident to the Irish Police.

He received a fine of €8,000 from the council in August 2015.

Pound is the current president of the Labour Party in Dublin North West.

His fine was reduced from the €16,000 originally sought by the High Court, and the council said Pound would now have to pay the reduced fine of €4,000.","Ashton Pound ordered to pay €18,000 to animal cruelty whistle-blower",irish-register-v3,0
irish_ai:gpt2-large:p0066,irish_ai,gript,gpt2-large,2019,base,post,Featured|Irish News,0,527,"The Irish Times, 8 October 2009


""I never thought that a simple pregnancy test could be so dangerous,"" says Annette McGrath.

But the 24-year-old mother-of-two has been forced to give up on the test after suffering two miscarriages.

The first was at home two months ago.

Annette says she took a pregnancy test and it was negative. ""This morning I decided to go to my GP and he said, 'What's wrong?' I said, 'Well I've had two miscarriages in the last two days'.""

Annette had her second miscarriage the following day and has been advised by her GP that it was an ectopic pregnancy.

The GP believes this could be her last chance of conceiving. ""I need a procedure that won't cause a miscarriage, but I cannot afford it,"" Annette says.

Annette's friend and partner, Pat Buckley, says he is also having difficulty conceiving.

""It's been a difficult time for our marriage, we're both struggling to be honest with each other and I feel as if I've been taken from behind,"" he says.

""I need a procedure that won't cause a miscarriage, but I cannot afford it.""

Pat says he has been advised by doctors that a pregnancy test can be an important tool in fertility counselling and that there are options available to help couples with infertility problems.

However, Annette is keen to have an abortion.

""I have my reasons for wanting an abortion, but it will be at least four weeks until I get the procedure I need. I'm not even considering it,"" she says.

""My doctor is trying to convince me I could have an abortion earlier but I'm not convinced.""

Annette is adamant that she is not a slut, and says she is aware of how she may have played a part in her relationship breaking down. She says she regrets anything she has done and wants to make amends.

""I know I have my faults, I think if I had been more patient with myself I could have been happier,"" she says.

""I have a lot of regrets but I am ready to get on with the rest of my life and move forward.""

The news that the test may have led to an abortion has come as a surprise to many people.

""I thought a pregnancy test was a simple thing, and was taken for granted by women,"" says Annette. ""It has been a long time since I have had a blood test.

""People are saying it is a good thing for women, but it's not. It's a terrible shame and shame on the doctors.

""I am not a slut, I do everything I can to be patient with myself, I know that there is a time to take your time.""

The woman says that her doctor recommended that she go for counselling and that there are other options that can help women in a similar situation.

The GP, who refused to be interviewed, says he is doing all he can to help women cope with their fertility problems, but he is ""understandably"" under-resourced.

Annette is now considering a procedure in which she can remove her womb and store it away.","After Limerick case, medics write to every TD to warn ultrasounds must be provided before abortion",irish-register-v3,0
irish_ai:gpt2-large:p0010,irish_ai,gript,gpt2-large,2019,base,post,Culture|Featured,0,577,"""In the first part of the 20th century, an emerging scientific debate about the historical origins of Santa Claus was born out of an apparent lack of evidence for the phenomenon. Since then, the debate has continued with a number of new theories that have made some sense. One such theory, advanced by scholars such as Arthur Caplan, argues that Santa Claus may have originated in Christian folklore. Others have suggested that the origins of Santa Claus lie in an earlier period of history, such as the early Middle Ages, or in a pagan world of fairies and fair-tailing. In the past century and a half, many researchers have attempted to explain how Santa Claus became a popular figure in the modern world.

Theories of Santa Claus origin have always included aspects of cultural bias and socialization, but they are increasingly being questioned by scholars.""

""As a result, there have been considerable efforts to investigate the possibility that Santa Claus is an invention of the popular culture, as well as a myth.

Some researchers claim that Santa Claus is a fictional character (though not the traditional one). They claim that Santa Claus is a myth created by and for a specific audience, and that the Santa Claus of today is the product of an ancient, pre-modern culture.""

""Perhaps the most important theory to emerge from the recent research is that Santa Claus is a myth that was created and spread by the Christian church. That is, according to this view, Santa Claus has always been there and has always been there for a reason.""

""Santa Claus is not just a fictional character, but a character created by the church as a way of re-establishing its control over children. The church has created Santa Claus as a way of re-establishing its control over children in general. Santa Claus is a religion and not a character created by children.""

""This hypothesis is based on an assumption of a historical relationship between Santa Claus and the Christian church. The belief that Santa Claus was created by the church is a common belief of Christians, but is not universally accepted. Other researchers claim that Santa Claus is an invented myth that was invented to defend the Christian church against those who challenged it.""

""Many people believe in Santa Claus because he is a kind of 'magic carpet', which has brought warmth and light to their homes. But the idea that Santa Claus was created by the Christian church has never been universally accepted. In a very real sense, there has always been a deep divide between those of the Christian church, who believe in Santa Claus, and those of the wider secular world, who believe in the myth.

In the first part of the 20th century, an emerging scientific debate about the historical origins of Santa Claus was born out of an apparent lack of evidence for the phenomenon. Since then, the debate has continued with a number of new theories that have made some sense. One such theory, advanced by scholars such as Arthur Caplan, argues that Santa Claus may have originated in Christian folklore. Others have suggested that the origins of Santa Claus lie in an earlier period of history, such as the early Middle Ages, or in a pagan world of fairies and fair-tailing. In the past century and a half, many researchers have attempted to explain how Santa Claus became a popular figure in the modern world.",Why Santa Claus is historically associated with cats,irish-register-v3,0
irish_ai:gpt2-large:p0124,irish_ai,gript,gpt2-large,2019,base,pre,World News,0,573,"Depression is a major cause of disability, disability that is often exacerbated by the stress that the burden of depression puts on the health service and society as a whole.

The current epidemic of depression, and the continuing social and economic pressures to recover from it, are leading to increased suicide rates and increasing unemployment.

The Department of Health and Social Services (DHS) commissioned a study to ascertain how the mental health crisis is affecting the workforce and society. The research was carried out by the Royal College of Psychiatrists and the University of Newcastle.

Over one million people are living with a mental health condition and an additional 1.5 million are living with a severe mental health condition.

Depression is now the leading cause of disability. The report outlines the major impacts of this on health, social services, education and employment.

A third of people with a mental health condition are not in employment, compared to 11 per cent of those without a condition.

The Government says the economic cost of depression is £3.5 billion annually to the health service, as well as economic cost to society.

Depression has more than doubled in the last 10 years.

Over one in 10 people will die by suicide before they reach 65 and the UK is second only to the US in the number of suicides.

About 5,000 people commit suicide every year.

Over 80 per cent of suicides involve a person who is unable to cope with the stress of their own illness.

The study found that more than half of the people who died by suicide were living in poverty.

For the first time, the researchers also found that of the 12th to 85th per centiles of mental health illness were those who had been diagnosed with a chronic illness and who were working, on average, 35 hours per week.

Mental health issues were more prevalent among unemployed people than in those who were employed.

Dr Paul Kershaw, Chairman of the UK's Mental Health Commission, said: ""Depression is a devastating illness and is an illness that is increasing in prevalence.

""It is not enough to offer help to those affected – a great deal of the problem lies in the fact that people who need help to deal with depression are being forced to accept a life of misery and distress.

""Depression is a social problem and the Government needs to act now to ensure that those who need support and help are not turned away or left to suffer.

""A mental health treatment system is one of the most important elements of the health service to protect patients and treat depression at a level that supports long-term recovery.

""It's crucial that the Government recognises the importance of tackling depression in the workplace by setting up a Mental Health Commission.""

The study examined the mental health of more than 14,000 adults between January 2009 and March 2015. The people surveyed were surveyed in England, Scotland and Wales.

It found that of people with a mental health condition, over 70 per cent were not in work, with the highest proportion of people not in work not being in employment.

On average, the participants were employed for 42 hours per week and around 13 per cent were unemployed.

The study found that about half of people with a mental health condition were not employed, compared to 11 per cent of those without a condition.",‘Looming crisis’ as depression DOUBLES in lockdown: UK study,irish-register-v3,0
irish_ai:gpt2-large:p0037,irish_ai,gript,gpt2-large,2019,base,post,Featured|Irish News,0,243,"Helen McEntee says the bill is based on lies and not on the facts

""There is no provision in the Bill for the right to free speech under the Irish constitution.""

Mr McEntee said that the law is a clear breach of the Human Rights Act, and said he was extremely concerned about the way it is being discussed and enforced.

""It is a clear breach of international human rights law, because it treats speech that is constitutionally protected and protected under the Irish constitution as being hateful, as not being a necessary part of democracy. It is a clear violation of human rights law.""

On Sunday, Ms McEntee spoke with the Irish Independent.

The bill also gives the State the power to prosecute anyone for an offence motivated by hatred of religion or race.

The Independent quoted Ms McEntee as saying: ""It seems to be very much in the vein of the legislation that was used to attack the former head of the Catholic Church, Cardinal Desmond Tutu, after he spoke out against the State's treatment of Muslims during the Troubles.""

""I have been attacked on a number of occasions from those who would prefer to paint me as a racist or a bigot.""

On Friday, Ms McEntee spoke to the Irish Independent.

The bill is part of a number of anti-terrorism laws. It gives the State the power to prosecute anyone for an offence motivated by hatred of religion or race.",Helen McEntee says opposition to hate speech bill based on “disinformation”,irish-register-v3,0
irish_ai:gpt2-large:p0096,irish_ai,gript,gpt2-large,2019,base,pre,Comment|Comment Ireland|Featured,0,219,"A new anti-misinformation think-tank has been launched by a US based think tank, the Committee on the Present Danger, in collaboration with the National Endowment for Democracy (NED).

The Centre for Global Freedom, which has ties with the US funded think tank, the Centre for Security Policy, is the first of its kind in Europe. Its mission is to combat ""misinformation from a conservative, anti-liberal, anti-West, anti-Western"" perspective.

Headline: New anti-MIS, anti-misinformation think-tank 'Boots on the Ground' launches on 20th September

Article:

A new anti-misinformation think-tank has been launched by a US based think tank, the Committee on the Present Danger, in collaboration with the National Endowment for Democracy (NED), in the early days of the new year.

The Centre for Global Freedom, which has ties with the US funded think tank, the Centre for Security Policy, is the first of its kind in Europe. Its mission is to combat ""misinformation from a conservative, anti-liberal, anti-West, anti-Western"" perspective.

""We know that the media is going to have to do a much better job at reporting and analysing information about the Middle East,"" said the Centre for Global Freedom's founder, Tom Malinowski. ""But it's really hard to change people's minds when their information is so distorted by their governments. The new Centre for Global Freedom is trying to change that.""",Anti-misinformation think-tank spreads trans misinformation,irish-register-v3,0
